                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1002,                 1.4495,                 1.5951,                0.65203,                      1,                0.91167,                0.78779,                 0.7048,                 1.1931,                 1.1156,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 0.9597,                 1.4745,                  1.365,                0.65203,                      1,                0.91167,                0.78779,                 0.7048,                 1.1931,                 1.1156,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.2354,                  1.336,                 1.7891,                0.69515,                      1,                  0.995,                  0.846,                0.71905,                  1.096,                 1.1174,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.0151,                  1.247,                 1.4726,                0.69515,                      1,                  0.995,                  0.846,                0.71905,                  1.096,                 1.1174,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.2469,                 1.4655,                 1.6296,                0.82519,                      1,                  0.995,                0.84598,                0.73995,                 1.0344,                  1.123,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 1.1505,                 1.3786,                 1.6222,                0.82519,                      1,                  0.995,                0.84598,                0.73995,                 1.0344,                  1.123,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.85577,                 1.1032,                 1.3645,                 0.8726,                      1,                  0.995,                0.84575,                0.75177,                 1.0022,                 1.1172,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 0.9771,                 1.3166,                 1.4231,                 0.8726,                      1,                  0.995,                0.84575,                0.75177,                 1.0022,                 1.1172,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.1155,                 1.1834,                 1.5801,                0.91254,                      1,                  0.995,                0.84575,                0.77639,                 0.9638,                 1.1313,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.0472,                 1.0069,                 1.4669,                0.91254,                      1,                  0.995,                0.84575,                0.77639,                 0.9638,                 1.1313,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.2853,                 1.2448,                 1.6611,                0.93277,                      1,                  0.995,                0.84575,                0.75014,                0.96382,                 1.1186,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                  1.147,                 1.1102,                 1.4869,                0.93277,                      1,                  0.995,                0.84575,                0.75014,                0.96382,                 1.1186,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.95034,                0.91421,                 1.3557,                0.94693,                      1,                  0.995,                0.84575,                0.73293,                0.97231,                 1.1156,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.94037,                 0.8227,                 1.3964,                0.94693,                      1,                  0.995,                0.84575,                0.73293,                0.97231,                 1.1156,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.88259,                0.81677,                 1.4264,                0.95785,                      1,                  0.995,                0.83353,                0.71248,                0.99659,                 1.1093,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.0113,                0.93311,                  1.347,                0.95785,                      1,                  0.995,                0.83353,                0.71248,                0.99659,                 1.1093,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.87703,                0.77641,                 1.3389,                0.96521,                      1,                  0.995,                0.83353,                0.69211,                 1.0132,                 1.1174,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.0766,                 1.0092,                 1.4859,                0.96521,                      1,                  0.995,                0.83353,                0.69211,                 1.0132,                 1.1174,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.79023,                0.96229,                 1.2639,                0.95035,                      1,                  0.995,                0.83353,                0.67326,                 1.0435,                 1.1201,             3.0048e-05,             3.0048e-05,             3.0048e-05
