                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4576,                 1.3729,                 1.5871,                0.00666,                    0.5,                0.03554,                0.02809,                 1.2497,                 5.2232,                  1.806,             5.2846e-05,             5.2846e-05,             5.2846e-05
                     34,                 1.4063,                 1.1583,                 1.5286,                0.00666,                    0.5,                0.03554,                0.02809,                 1.2497,                 5.2232,                  1.806,             5.3682e-05,             5.3682e-05,             5.3682e-05
                     35,                 1.4531,                 1.1726,                 1.5897,                0.00481,                    0.5,                0.03431,                0.02705,                 1.2781,                 5.3324,                 1.8407,             5.4472e-05,             5.4472e-05,             5.4472e-05
                     36,                 1.4201,                 1.2594,                  1.623,                  0.015,                   0.25,                0.03293,                0.02502,                 1.3215,                 5.4565,                 1.8942,             5.5214e-05,             5.5214e-05,             5.5214e-05
                     37,                 1.2176,                 1.1015,                 1.4634,                  0.015,                   0.25,                0.03293,                0.02502,                 1.3215,                 5.4565,                 1.8942,              5.591e-05,              5.591e-05,              5.591e-05
                     38,                 1.4196,                 1.1272,                 1.4732,                0.03163,                   0.25,                0.04376,                0.03257,                 1.4016,                 5.7424,                 1.9871,             5.6558e-05,             5.6558e-05,             5.6558e-05
                     39,                 1.3883,                 1.2062,                 1.5428,                0.01549,                   0.25,                0.03174,                0.02648,                 1.3814,                 5.7435,                 1.9793,             5.7159e-05,             5.7159e-05,             5.7159e-05
                     40,                 1.2784,                 1.0178,                 1.3865,                0.01549,                   0.25,                0.03174,                0.02648,                 1.3814,                 5.7435,                 1.9793,             5.7713e-05,             5.7713e-05,             5.7713e-05
                     41,                 1.2146,                 1.0711,                 1.5131,                0.01264,                   0.25,                0.03126,                0.02517,                 1.3625,                 5.7885,                 1.9744,              5.822e-05,              5.822e-05,              5.822e-05
                     42,                 1.2566,                 1.0772,                 1.4293,                 0.0527,                    0.5,                0.05872,                0.05015,                  1.368,                 6.0933,                 2.0444,             5.8679e-05,             5.8679e-05,             5.8679e-05
                     43,                 1.4014,                 1.1017,                 1.4259,                 0.0527,                    0.5,                0.05872,                0.05015,                  1.368,                 6.0933,                 2.0444,             5.9092e-05,             5.9092e-05,             5.9092e-05
                     44,                 1.2263,                 1.0134,                 1.3725,                0.03433,                   0.25,                0.05725,                0.04646,                 1.3745,                 6.3164,                  2.079,             5.9457e-05,             5.9457e-05,             5.9457e-05
                     45,                 1.2152,                0.98186,                 1.4388,                0.03433,                   0.25,                0.05725,                0.04646,                 1.3745,                 6.3164,                  2.079,             5.9776e-05,             5.9776e-05,             5.9776e-05
                     46,                 1.1422,                0.91659,                  1.415,                0.05146,                    0.5,                0.06219,                0.04997,                  1.403,                 6.2989,                 2.0751,             6.0047e-05,             6.0047e-05,             6.0047e-05
                     47,                 1.2447,                0.99661,                 1.4819,                0.05146,                    0.5,                0.06219,                0.04997,                  1.403,                 6.2989,                 2.0751,             6.0271e-05,             6.0271e-05,             6.0271e-05
                     48,                 1.2653,                  1.007,                 1.4275,                0.02521,                    0.5,                0.07654,                0.06447,                  1.458,                 6.2753,                 1.9693,             6.0448e-05,             6.0448e-05,             6.0448e-05
                     49,                 1.2616,                 1.0035,                 1.4186,                0.02521,                    0.5,                0.07654,                0.06447,                  1.458,                 6.2753,                 1.9693,             6.0578e-05,             6.0578e-05,             6.0578e-05
                     50,                 1.2268,                 1.0051,                 1.3908,                0.08274,                0.35408,                0.11056,                0.09357,                 1.5054,                 6.2573,                   1.94,              6.066e-05,              6.066e-05,              6.066e-05
                     51,                 1.1688,                0.93042,                  1.394,                0.08274,                0.35408,                0.11056,                0.09357,                 1.5054,                 6.2573,                   1.94,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                  1.259,                0.93041,                 1.4603,                0.08502,                0.41576,                 0.0995,                0.08476,                 1.5639,                 6.3604,                 1.9013,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                  1.178,                0.88625,                 1.3841,                0.08502,                0.41576,                 0.0995,                0.08476,                 1.5639,                 6.3604,                 1.9013,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                 1.2339,                0.89387,                 1.3649,                0.08436,                    0.5,                 0.0995,                0.08478,                 1.5861,                 6.4772,                 1.8962,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                 1.2303,                0.86367,                 1.4414,                0.08436,                    0.5,                 0.0995,                0.08478,                 1.5861,                 6.4772,                 1.8962,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                 1.1461,                0.86002,                 1.4081,                   0.02,                    0.5,                0.07654,                0.06502,                 1.5543,                 6.5043,                 1.8471,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                 1.0583,                0.77799,                 1.3245,                   0.02,                    0.5,                0.07654,                0.06502,                 1.5543,                 6.5043,                 1.8471,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                 1.2407,                0.90044,                 1.3867,                0.02326,                    0.5,                 0.0526,                0.04734,                 1.4923,                  6.376,                 1.7904,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 1.2741,                0.92312,                 1.4067,                0.02326,                    0.5,                 0.0526,                0.04734,                 1.4923,                  6.376,                 1.7904,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                 1.0874,                0.83679,                 1.3123,                0.02381,                    0.5,                0.05202,                0.04682,                 1.4832,                 6.4743,                 1.7732,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 1.1481,                0.85607,                 1.3082,                0.02381,                    0.5,                0.05202,                0.04682,                 1.4832,                 6.4743,                 1.7732,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                 1.1827,                0.81739,                 1.3072,                0.02439,                    0.5,                0.05388,                0.04849,                  1.495,                 6.5666,                 1.7846,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                 1.1465,                0.84691,                 1.4194,                0.02439,                    0.5,                0.05388,                0.04849,                  1.495,                 6.5666,                 1.7846,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                 1.1773,                0.86392,                 1.4022,                0.02778,                    0.5,                0.06125,                0.05512,                 1.4987,                 6.6123,                 1.7915,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                 1.0814,                0.78239,                 1.2712,                0.02778,                    0.5,                0.06125,                0.05512,                 1.4987,                 6.6123,                 1.7915,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                 1.2373,                0.85937,                 1.3288,                 0.0303,                    0.5,                0.07124,                0.06412,                 1.4779,                  6.644,                 1.7793,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                 1.0573,                 0.8152,                 1.3976,                 0.0303,                    0.5,                0.07124,                0.06412,                 1.4779,                  6.644,                 1.7793,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                 1.0623,                0.79673,                 1.2781,                0.03125,                    0.5,                0.06208,                0.05587,                 1.4569,                 6.6413,                 1.7878,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                 1.1249,                0.75089,                 1.2748,                0.03125,                    0.5,                0.06208,                0.05587,                 1.4569,                 6.6413,                 1.7878,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                 1.1542,                0.83139,                 1.3481,                0.03125,                    0.5,                0.07124,                0.06412,                 1.4292,                 6.6191,                 1.7538,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                 1.0744,                0.80303,                 1.3389,                0.03125,                    0.5,                0.07124,                0.06412,                 1.4292,                 6.6191,                 1.7538,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                 1.2192,                0.86718,                 1.3383,                 0.0303,                    0.5,                0.06625,                0.05963,                 1.4114,                 6.5972,                 1.7549,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                 1.1276,                0.82108,                 1.3054,                 0.0303,                    0.5,                0.06625,                0.05963,                 1.4114,                 6.5972,                 1.7549,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                 1.1749,                0.82586,                 1.3442,                0.03226,                    0.5,                0.07728,                0.06955,                  1.405,                  6.597,                 1.7612,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.99841,                0.70919,                 1.2293,                0.03226,                    0.5,                0.07728,                0.06955,                  1.405,                  6.597,                 1.7612,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                 1.0363,                0.79414,                 1.2367,                0.08343,                   0.25,                0.08819,                0.07229,                 1.4257,                 6.5687,                 1.7827,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                 1.0417,                0.78376,                 1.2567,                0.08343,                   0.25,                0.08819,                0.07229,                 1.4257,                 6.5687,                 1.7827,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                 1.0967,                0.79104,                 1.3079,                0.08905,                   0.25,                0.08819,                0.07229,                 1.4394,                 6.5352,                 1.7985,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                 1.1192,                 0.7372,                 1.3521,                0.08905,                   0.25,                0.08819,                0.07229,                 1.4394,                 6.5352,                 1.7985,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                 1.0862,                0.74761,                 1.2915,                0.09774,                   0.25,                0.08965,                0.07352,                 1.4556,                 6.5122,                 1.8061,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                 1.0355,                0.77114,                 1.3474,                0.09774,                   0.25,                0.08965,                0.07352,                 1.4556,                 6.5122,                 1.8061,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                 1.0897,                0.71708,                 1.2822,                0.11465,                   0.25,                0.08819,                0.07228,                 1.4764,                 6.4782,                 1.8227,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                 1.0317,                0.77956,                 1.2776,                0.11465,                   0.25,                0.08819,                0.07228,                 1.4764,                 6.4782,                 1.8227,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                 1.0792,                0.81274,                 1.3793,                0.11932,                0.23864,                0.09313,                0.07646,                 1.4973,                 6.4949,                 1.8412,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                 1.0494,                0.71467,                 1.2923,                0.11932,                0.23864,                0.09313,                0.07646,                 1.4973,                 6.4949,                 1.8412,             2.1218e-05,             2.1218e-05,             2.1218e-05
